,asin,overall,reviewerID,reviewText,summary,ReviewTag
20948,B00008673Z,1.0,A2R1AMIOGBA6GM,"This bra is unwearable - and I have never found *any* bra uncomfortable before.  The seams in the front, and in the back, and over the nipple (seams over the nipple in a nursing bra, are you kidding?!) all hurt.  And itch.  Look at that picture and all those seams and imagine them all scratching and irritating you, and the back hurting and itching as well, and save your money.  The nipple seams hurt even with nursing pads.

I'm a size 36 J and found that the support was just OK, comparable to a cheap XL nursing bra from Walmart.  Really upset that I spent so much money on this poorly designed thing.",Ouch!  All seams itch and chafe - even through nursing pads,Negative
26074,B0000891KM,2.0,A1SQAC2VQC2BH1,"The shade didn't match my complexion, it's way off. I only like how thick it is.",I only like how thick it is,Negative
7648,B00006XXGO,1.0,A1UTPK9GN7POE2,Way too small!,Didn't fit,Negative
6430,B00006CFCX,2.0,A12WLSGNU9K356,The gown is ok. What you would expect from a costume. The head piece is sub par. Not even black. The horns won't even stand straight. Im going to have to purchase a different one or not wear it at all. Over all pretty disappointed.,Not a great value.,Negative
23675,B0000868IP,1.0,A16THE67VB6MBT,I purchased this bra based solely on the picture and of course name...very disappointed.  It is made cheaply and arrived frayed at the seams.  Just terrible quality for the price.,not what I expected,Negative
13978,B00006XXGO,1.0,A2LJAW0GOHMCU,"These shoes appear to be fake. Part of the Converse logo was missing on the right shoe. The left shoe had a red dye stain on it, as if it had rubbed off while in the box. All in all- they looked very cheap. Didn't even wear them- returning immediately. Do not buy these.",Terrible- Appear to be fake!,Negative
10646,B000072US4,1.0,A36CIT958Q1ZS6,VERY disappointed. These are supposed to be low tops but are high tops. I triple checked before ordering and am very frustrated as I got them for my boyfriends birthday and now have to deal with returning them.,Not happy,Negative
17830,B00007GDDD,2.0,A6YVDGW8KPI1G,"Not a great product, it open by itself all the time.",Two Stars,Negative
23677,B0000868IP,1.0,ANFSV70D6QW7R,"This bra is the epitome of you ""get what you pay for""!  This bra is so cheaply made, I am disappointed because I didn't even think Bali would make a bra of this quality!  Break open a box of band aids because it is very abrasive! It is also not smooth in front, it is POINTY!  Reminds me of the bras my mother used to wear!",The epitome of you get what you pay for!,Negative
20946,B00008673Z,1.0,A2A61YTPLZBIXT,"I was really excited when I saw this bra online in my size,but unfortunately when the bra came it did not fit like the picture. It was uncomfortable and had absolutely no support....my breast looked like sandwiches",Disappointed,Negative
6431,B00006CFCX,2.0,A3RZUQMRUI25UP,"This costume looks better in picture than it does in person.  The colors are kind of faded, not as vivid as in this picture.  I bought a large because it was the only size available, I'm more of a small size but it fits ok since it's a cape anyway.  As others have said, the head piece is completely useless, it's some very cheap foam material that doesn't hold its shape at all.  I purchased some other horns separately so that's what I will use with this cape.  I wish Disney would bring back maleficient and have more and better items available.",Just ok,Negative
4863,B00004VWJ3,2.0,A3I6N1NJ0P6PZL,"These shoes were recommended to me by a several coworkers and friends of mine. We work in the Veterinary nursing field, which involves a lot of standing, kneeling, etc. I bought both the 39 and the 40 as I can go either way with different brands. The 39s fit perfectly around my foot, but my toes were smushed and hitting the front of the shoe. The 40s were so big that even with socks on they flopped like flip flops when I walked, which was a deal breaker for me, so I returned them.","Too small or too big, they did not fit.",Negative
27705,B000089V7W,1.0,A2LPIFSOIAZ27V,don`t fix it,too large,Negative
13971,B00006XXGO,1.0,A3LFTHL48F6227,"Bought the same size my daughter wears in her old converse, but these were huge...guess they were men's size not woman's?",Bought the same size my daughter wears in her old ...,Negative
23681,B0000868IP,2.0,ADNIYZP2M9K5A,I should have known better after reading some of the other reviews but I gave it a try anyway.  I don't like the pointy look of this bra or really anything about the look at all.  It may give good support but I wouldn't want to wear it under anything even slightly see through because of the huge band.  It is definitely not what I was looking for.  The search continues...,Not the bra for me!,Negative
13968,B00006XXGO,2.0,A3K9TSMDFHZQ4T,Too big,Two Stars,Negative
17826,B00007GDDD,2.0,A1WT9RRG1N3U4Z,"The card holders are big to place the credit cards. I did not want to take risk losing my cards, I took it back.",The card holders are big to place the credit cards ...,Negative
19238,B00007GDG5,1.0,AF0ZTX6XVNZ5W,"at least not any leather I've ever seen.  Even the wallet itself has two inserts titled ""Materials"" that explain that the exterior is (supposedly) leather and the interior is manmade materials.  Yet the website simply says ""Genuine Leather"" - as if for the whole wallet.  And there is a stamp embossed into the backside of the wallet also saying ""Genuine Leather"" - even though, by their own admission on the inserts, it only refers to the ""exterior.""  Yet even the exterior is not remotely like any real, new leather I have ever seen or sniffed.  This must be ""PU leather"" or some such.  It doesn't smell like leather (smells chemically actually) and it doesn't look like leather.  It looks like a ""processed meat"" version of leather from a wallet sausage factory.

In addition, some of the commenters referred to it having a pen holder, which to me was an attribute.  Be advised that the pen holder is merely a slit in the interior ""manmade material"" to hook a pen over.  It's not the usual kind of pen holder in a wallet, which is a loop of leather to insert a pen through.

Also, to confirm what others have reported, the checkbook divider is not removable despite what it says here - that's another misrepresentation about this item.

Somehow this wallet is getting mostly rave reviews, which now completely baffle me.  Maybe the fake-leather look is more obvious in the Mahogany color but that's the only color that suited me of the choices given.","This is NOT ""Genuine leather"" ...",Negative
4876,B00004VWJ3,1.0,A1P30PV6E46SJX,These look well made and are truly slip resistant. For me they are terribly uncomfortable to wear for the whole work day. I think they will be ok just to wear for short times and hopefully they will get broken in,For me they are terribly uncomfortable to wear for the whole work day,Negative
2812,B00001W0GC,1.0,A2D738MJOGCJ9O,items missing !,One Star,Negative
19242,B00007GDG5,2.0,AGPLVC158H0ME,"This thing is small and did not have a handle. It really was not useful for me as I was looking for one that travel documents and boarding papers could be put into, AND my checkbook. I still have this but do not use it. It is useless to me. What a waste of money.",Why not call this a clutch?,Negative
2783,B00001W0GC,2.0,A9TTSHW8VGCEA,"Cheaply made and the ears, which I believe is the biggest part of the outfit, don't stay up at all. I was really disappointed and most people thought my son was a magician, instead of Mickey!",I was really disappointed and most people thought my son was a magician,Negative
17787,B00007GDDD,2.0,A26QQ22YHA8KGJ,I excepted the product to be quality . Since the name brand is well known . Not happy. I would not recombined this handbag.,Poor quality.,Negative
24753,B0000891JE,2.0,A16PURY3M7H658,"for the price these very quickly had snags in them ( right from the time I put them on), would not buy these again",Not worth the price,Negative
2787,B00001W0GC,2.0,A1SO4JTWZA4ZOS,Got a 4/5 and it was more like a 3/4...,Two Stars,Negative
4880,B00004VWJ3,1.0,A1BGT4A4VJSUR2,No good,One Star,Negative
23648,B0000868IP,2.0,A2KYOZKBS0M7F9,"Since Bali discontinued the bra that was my favorite (one that had truly non-slip straps), I thought I'd once again try this old standby which has been available for decades. It's a good product, but it is far from perfect.

Good points: the bra is supportive if you can get the straps to stay up, it is not ugly, and it runs mostly true to size.

Bad points: the underwires have no cushioning and feel harsh against the skin, and the straps slip off my shoulders constantly, which is the reason I stopped wearing this style before.

The ad copy claims that the straps and back have been redesigned into a ""Comfort-U"" shape to eliminate slipping, so I thought I'd give this bra a try again. Unfortunately, it really doesn't work. In two days of wearing my brand-new purchases, I find that the straps constantly fall onto my arms and that I must replace them back onto my shoulders every few minutes. This affects the ability of the bra to provide support, and is a major annoyance, especially when I'm active, or when I'm in a business meeting where I really, really do not want to be fiddling with my clothing.

I won't be buying more of this style.",Slippy straps - ugh!,Negative
17792,B00007GDDD,1.0,A2TSO9X2HP54R0,Bad design as the 2 flaps in front (where you put credit cards) weight the bag to tip and everything falls out.  I used the bag once and one of the flaps has already started to tear away from the purse.  JUNK.,Don't.,Negative
7674,B00006XXGO,2.0,A2HW2850W3UF5Z,"Gonna have to return, these run about 2 sizes too large.",Two Stars,Negative
20966,B00008673Z,2.0,A1GNVAO72JTN5I,"This bra is comfortable enough, and just supportive enough not to be completely embarrassing. The materials are pretty crappy. After less than a month I was starting to see the edges starting to run. I was happy to find a nursing bra in 42L (don't have any options at this size), but I can't wait to be finished nursing so I can go back to a sturdy, supportive bra.

The straps look somewhat wide, but under load they end up bunching up and digging in more than others. Keep trying Fancee Free, maybe some day you'll figure out that the same designs and fabrics just don't scale up the same when you get into bigger cup sizes. I look forward to the day when a large size bra is actually designed and built for the large size bust. Someone let me know when they do, this  one just doesn't cut it.",better than nothing,Negative
27749,B000089V7W,1.0,A16PKJGCGV1EMT,"I order men size 8, i got the infant size, Hate it.......",Wrong size,Negative
10624,B000072US4,1.0,A2O26FYKR4KKZW,Had to return because 2 sizes too big. Ended up purchasing from store.,One Star,Negative
17796,B00007GDDD,1.0,AXOI5H1UZV8GV,I didn't have it a month and it already fell apart at the seams. Useless.,No,Negative
23651,B0000868IP,1.0,A2AK480UW3Z2CK,"I doubt anyone's body is this shape, or that anyone would rate the fabric as comfortable, it's scratchy!

Nothing like the picture...",I think I must have been sent the wrong bra-,Negative
20965,B00008673Z,1.0,AAYEASTNZR2KP,"It lost its hold after a few hours. I am heavy busted and with milk it's worst, so this bra is not good for holding up anything that a nursing bra should. It seems as though the straps kept getting longer and longer as the minutes rolled by.  By the time I took it off it was a hula-hoop around the band and the length of suspenders at the strap, but did not support as well as suspenders. A picture is worth a thousand words, but this picture lied.",This was the worst bra ever.,Negative
20964,B00008673Z,1.0,A1DM24G8KK11IM,This bra provides ok support.  It's not the best and not the worst that I have found.  It is extremely itchy!  I even tried trimming the lace off but it's not the lace.  It is the fabric around the inside edge.  I am not sure what type of fabric it is but it definitely is not cotton!  When I took this bra off after wearing for a few hours my skin was red and very irritated around the edges of the bra.  The cup fit ok and inside seams didn't bother me.  It is one of the few that I have found in my size 38/40 H but there are others out there.  Unfortunately I was not able to return this because I prewashed and had to wear it because I didn't have another nursing bra.,Very Itchy!,Negative
2799,B00001T38Y,2.0,APJ8A1G1YH8HV,Had to add padding and a strap and still too big for an adult.,Not satisfied; too big for even an adult.,Negative
26070,B0000891KM,2.0,A1PZCDQWM3Y80S,They snagged in the first hour,Two Stars,Negative
26071,B0000891KM,1.0,A2ISH2I1BIXVZT,"DO MOTHER BUY. These are not ""barely"" there, very dark and obvious.",One Star,Negative
24752,B0000891JE,1.0,AJ07FG77KEY00,Didn't fit well in the crotch.  I bought 4 pairs of these.  Ran one as I put them on and ran the other during the middle of the day.  Fortunately I had a different pair of stockings in my bag.  I'm pretty easy on stocking and don't have a tendency to run them but you just touch these and they ran.  Will never buy these again.,Snag and run just by touching something.,Negative
10630,B00006XXGO,1.0,A2BV6D29EIY9MY,These are not leather. They are made of man made materials. Also they are about a half size larger than my canvas converse.,Not leather,Negative
23658,B0000868IP,1.0,A38Q69HL4J04SZ,I have purchased Bali bras before and have always been satisfied.  This bra pokes and is very poorly made.  This will make me question the brand itself.,Very uncomfortable,Negative
2805,B00001T38Y,1.0,A3TR9S0L8O5PIX,"The mask is a large rubber mask. Not multiple plastic parts. When I ordered the picture was a plastic one with lens for the eyes. When I came back to the item page after I received order, they had changed pic to perforated eye holes. When I received order they were all warped and flat as you can see in picture. I'm disappointed as they were to be props in our wedding. And Don't think they can used because so warped.",Disappointing,Negative
17805,B00007GDDD,2.0,A2NNUS6U4YH4Z0,I liked it. But it has the tendency to tip over and everything spills out.,Two Stars,Negative
17806,B00007GDDD,1.0,AWCJ12KBO5VII,"Although it looked nice, only three months later it's completely falling apart. Unknown to me it split open and several credit cards and my checks fell out and were lost. I expected higher quality from Buxton than this. If you want to protect your belongings steer clear of Buxton Double Flap Mini Cross Body Bag",Garbage that falls apart in 3 months,Negative
10631,B00006XXGO,1.0,A2VASAQO36R5DZ,Got them today! Both shoes in the inside soles were not glue down!!!! I'm going to get them fix cause I can't wait for the return and receive. I read all the comments and I should of stayed away! For the price got them at a local shoe store.,Buy your shoes locally!,Negative
14001,B00006XXGO,2.0,A1SI9U5JN1GMK0,They were what I expected but they were half a size too big. I got a 7.5 since that's my regular size but a maybe a 7 would of fit better. I suggest ordering half a size smaller because in my case that would of been better for me.,5 since that's my regular size but a maybe a 7 would of fit better. I suggest ordering half a size smaller because ...,Negative
17808,B00007GDDF,1.0,A19AB6320QKP2L,"The wallet is too large to extricate from my rear pocket when in a sitting position.  The wallet is functionally too big, and not usable as a daily wallet.",Wallet Size,Negative
23660,B0000868IP,1.0,A1PM21QD9MWBTW,"This was one of the bras that you throw away the minute you try them on! I was disappointed, the material is extremely rigid and extremely uncomfortable..",Of Plastic Material and not comfortable,Negative
4861,B00004U3ST,2.0,A3W57THPEC03Q0,This item is made of very thin plastic that tears easily. I wouldn't advise using it for a child's costume.,Cowardly Lion Badge of Courage,Negative
26066,B0000891KM,1.0,A3PDKDW1NOGWGJ,It ripped the first time I put it on and left a huge run on the front of the leg. I threw it out and never got to wear it.,It ripped the first time I put it on and ...,Negative
2849,B00001W0J3,2.0,A29F6K5MWWN9KP,I expected more.,I expected more.,Negative
10652,B00006XXGO,2.0,A1UM4S5J3BTLV9,Shoes were a little large compared to the other exact shoe I have.,Two Stars,Negative
4852,B00004U3ST,2.0,A2W3KAPOAIAS97,"I had to replace the safety pin with a better pin to hold it up, cheap! Cheap, cheap, cheap, cheap!",Cheaply made,Negative
27671,B000089V7W,1.0,A2YTUTDFERN1XV,"I'm trying to order both of my daughters the size 2 infant and size 5 toddler pink ones. The picture when you first click it is a nice bright pink color but when I went to check out the picture changed to a very light pink which isn't what I want. I want them to match my pink converse. I buy from amazon every couple days, but I will be going some where else for these.",The picture when you first click it is a nice bright pink color but when I went to check ...,Negative
7618,B00006XXGO,1.0,A3ADLT9F0B1LZN,Wrong size label. It's says size 7 but the actual size could be 9,One Star,Negative
26090,B0000891KM,2.0,A2V6I2ODQF9C4U,"I'm very gentle with pantyhose and can wear the same pair a few times. These were great, for the first day. After that they snagged and though I wore them one last time, the quality is not as great as I have seen from other hose.","These were great, for the first day",Negative
2889,B00001T38Y,1.0,A37PATKF3RPTN8,"The image pictures is not the item I recieved.  If it wasn't so close to Halloween I would've returned it.  If you are looking for the mask pictured, keep looking because this ain't it.",Buyer Beware,Negative
2891,B00001T38Y,1.0,A316MOLZ8B6IFN,"11/7/14 Update: I emailed the Seller (OrangeOnions) upon receiving the wrong helmet. OrangeOnions wrote back within a very short time, acknowledged the error and provided immediate refund. Although I was disappointed in the product, I was extremely pleased with the level of customer service provided.

Original Comment: The helmet I received is NOT the one described or shown in the listing. It is not made of 2 plastic pieces. It is made of 1 rubber piece. The helmet was dirty on the inside and permanently deformed due to how it was shoved into a box for shipping. VERY disappointed!",Helmet NOT as described / shown,Negative
2892,B00001T38Y,1.0,A1CBCOFI1AIAN6,"So remember it's a mask, not a helmet.  It's rubber not plastic. Imagine you bought a rubber mask at the Halloween store for 15$, that's what it's like. If you're a big star wars fan, you won't be happy. If it's for your kid for Halloween,  then you might be happy. Just remember,  it's a mask, not a helmet.",nope,Negative
4849,B00004U3ST,1.0,A2VUL8SP1LI23I,"I know it's just a trinket, but was so thin and cheap was not worth the price plus all the shipping cost.  Wish it was a little heavier and just made nicer.",Super cheap looking,Negative
13936,B00006XXGO,1.0,AVTJSGH8HVZ1R,Disappointed,Disappointed,Negative
2895,B00001T38Y,1.0,A26O1MXYYZJWV7,This is made out of cheap light weight plastic. When I got it it was all warped. I'm still trying to mold it back to the correct position. This helmet also has a weird chemical smell from the plastic that it is made of. I wouldn't wear this too long cause you will inhale bad chemicals. Soooo not worth the money. Save up a get a better high quality stormtrooper mask. You get what you pay for..right?,waste of money,Negative
2896,B00001T38Y,1.0,A2RD0GUWX0MVKE,This material that is listed here is completely false & isn't what you're expecting. I just received mine and it was made out so type or rubber material. Do not buy.,This material that is listed here is completely false & ...,Negative
2897,B00001T38Y,1.0,A1ARLM12R7PS9M,Not a two piece plastic mask ... This is a one piece piece of junk rubber.  Now I'm going to have to find a different mask for my costume as I don't want to be seen in public in this.,Not a two piece plastic mask... This ...,Negative
17866,B00007GDDD,1.0,AR3ZQY6Z5Z5X3,Got a different style than what is pictured here. Very disappointed.,Very disappointed.,Negative
17860,B00007GDDF,2.0,AQZ1VXTL6QZPU,"The info on the web was a bit hard to actually get a feel for what the wallet was.
The credit card slots are next to impossible to get cards out of. It looked promising at first because all the credit card slots were what I noticed first. Too bad, I had to go back to my old wallet for now. I will continue to look but with a better idea of what I actually want.",too small and too bulky,Negative
2899,B00001W0J3,1.0,AQC9103VY6JMW,"This costume is cheaply made and the fabric is very chintzy. More importantly, it is poorly designed for a toddler. There is no access to the diaper area (no snaps, etc. in the panties part of the costume) and there is only one small entry point in the back of the dress, which closes with cheap velcro. So you have to pull the dress through your child's legs and up over the whole body every time you take it on or off. Plus, it runs small. And the elastic around the panties of the dress is super tight. The Minnie Mouse emblem is poorly attached and could easily be torn off. Don't waste your money. We are returning it.","Cheap, poorly designed toddler costume",Negative
17868,B00007GDDD,1.0,A1RBJ7IRGWKJV6,Just like most of the other reviewer's immediately after opening my new clutch the inside clasp broke in such a way that makes it impossible to close completely. I don't trust it to put anything in it so I have to get rid of it.,Don't buy this,Negative
19225,B00007GDAL,2.0,A178G0RPT0M9YD,"The wallet looks and feels nice.  However, when I went to transfer my cards, etc. to it, I found that most of the card slots went all the way down, rather than being sewn closed at the correct height for  a credit card.  So I ended up not being able to use those slots at all, since I was afraid I'd never find the cards and/or be able to get them out again!  I don't know who reads these reviews, but if this is not the way the slots are supposed to be, I'd be happy to receive a replacement.  Debating about sending it back, but that's a hassle, especially if I don't know if I can get a better one.

Also, my driver's license and/or my military ID will not fit into the slot with the clear plastic.  I've run into this problem with other wallets, but I could always manage to force them in, although getting them out again was a challenge.  On this one, I resorted to putting the ID in lengthwise, since I couldn't even fit it in horizontally.  They don't fit as securely this way.  I'm hesitant to cut them to fit in there, as I'm not sure if they'd fall apart or be invalidated if I did this.",Card slots are wrong size.,Negative
4844,B00004U3ST,1.0,A3E5IEDSVMDLVD,This is a colored sheet of plastic with a ribbon attached.  It cannot possibly be worth more than $.05.  Don't waste your money.,Total ripoff,Negative
20922,B0000865II,2.0,A3CDDDK6AJIVSQ,Bad quality because just three hours later they were torn,Two Stars,Negative
13927,B00006XXGO,2.0,A23BWMVOL0B27G,Too large. Had to return and it cost me $16. Hadn't had to pay before. Will be going to zappos from now on,Too large. Had to return and it cost me ...,Negative
2908,B00001T38Y,1.0,AUFXEMPHTXNOR,Was not what I excepted. Reviews were deceiving. Mask was rubber and not even shaped and did not fit well. Not happy with product.,Not as expected,Negative
2909,B00001T38Y,1.0,A1KCJ3IXQWDV44,The rubber mask is awful. It comes smooshed almost flat in a box and will not retain any useful shape and gives off a headache inducing smell of chemicals.  I tried airing it out and trying to have it return to its original formed shape to no avail.,Don't order from OrangeOnions.,Negative
2910,B00001T38Y,1.0,A1ZOF9N7K80M59,"Reading the helpful reviews, I knew that the plastic helmet would actually be four pieces and require some effort to keep it together.  I figured it would be worth the effort to get a cool mask for $20.  I got the order on time, but not the right mask.  What I got was a cheap vinyl mask that was bent beyond repair.  There are yellow stains on it, some of the white paint is clumped, there is red paint on back for some unknown reason, most of the lines are faded, and there might as well not be any eye holes because you can't see right in front of you.  I immediately emailed OrangeOnions asking for a return or exchange.  I'm not sure what went wrong with this order, but from the other reviews, I am not alone.  Find a way to guarantee that you are ordering the plastic mask and not this crappy vinyl before you make your purchase.",Cheap vinyl mask,Negative
2911,B00001T38Y,2.0,A1LXLCDJWIDTMZ,"I received a vinyl mask instead of a hard plastic snap together ""helmet"".

It's fine for 5 year olds to keep in their playroom, but nothing you'd want to use for a costume; it doesn't hold it's shape and basically is just a rubber mask.

If you see the mask that has holes through the eye ""lenses"", that's what arrived, although I actually ordered from the page that said it was a two piece snap together hard plastic helmet.

I would try to really make sure you're getting a hard plastic mask/helemt and not this, save your money for the right one.

It did arrive on time, however.",Received a vinyl mask,Negative
2912,B00001T38Y,1.0,A2KYRZ18S3WRYG,"You will just be disappointed and want to cry. This is a cheap piece of s***. First off it is not a two piece helmet! I was expecting a hard plastic helmet that came in two parts, just like the vader mask I just ordered. NOPE. It is silicone like and isn't even the right shape because of the packaging. PLUS the smell of it is deadly. SO DISAPPOINTED.",DO NOT ORDER THIS,Negative
2913,B00001T38Y,1.0,A1GDGUUQX50WSE,"So I was expecting this product to be exactly what was described by other reviews: 2-4 pieces, hard plastic, I can work with duct tape so pretty acceptable for the price.. BUT IT IS AWFUL. It is a one-piece rubber mask that, as stated before by another reviewer, was completely squished. I attempted to shape it back into place but it REFUSES. I don't know if this has to do with it coming from Orange Onions rather than directly from Amazon, but I would recommend double-checking with the provider before purchasing this product. And for the love of god, DON'T PURCHASE THE ORANGE ONIONS VERSION. JUST TERRIBLE.",Be careful WHERE you get this product..,Negative
13926,B00006XXGO,2.0,A2EYVP6RAYNEIE,"Converse is good stuff but it's hard to find the right fit when ordering online. My daughter ordered these in the size she always wears, but they are too small and had to be returned.",Too small,Negative
2915,B00001T38Y,1.0,A2CRVH4R1BA9DS,"I'm actually very confused by what was just sent to me in the mail(not looking for anything major for what I paid). Everyone is saying this is 4 pieces. I received a very large rubber mask that was so badly smooshed into the box that I can't wear it without parts pushing into my eye and head..Very awkward. Also it has a very poor paint job for decal details.
I could have made this myself for $5 dollars.
Just saying.",Wait...What?!,Negative
4848,B00004U3ST,1.0,A3TNFFPF73LJVT,"Cheep and thin, not worth the postage that I paid even tho it is cute. I would not buy them again",Lion medal,Negative
10663,B00006XXGO,1.0,A3FZX541HNZTEZ,Looked used. They were dirty and the shoe laces were two different sizes. I sent them back.,They were dirty and the shoe laces were two different sizes,Negative
6436,B00006CFCX,2.0,A1P68S7A95PI8J,Way too large. Horns wouldn't stand up at all,Two Stars,Negative
12501,B000072US4,2.0,AVO47TUCWPPTE,Donated to a good cause.,Two Stars,Negative
13964,B00006XXGO,2.0,A4O1KZCKJWW5R,"These are unisex, and did not fit like they should.  Would not buy again...  Was hit with a return fee when shipped back.",and did not fit like they should,Negative
23685,B0000868IP,1.0,AYOMAHLWRQHUG,"I was looking for a casual bra to wear when I worked in the yard and chose this one based on reviews and price.  It's going back.

The bra is thin with old fashioned pointed nipples.  The material fails to stretch to adapt to breast dimensions, causing some areas to be too tight and others too loose.  It felt uncomfortable (not too tight - just too rough) as soon as I put it on.

Because it's a Bali, it's probably durable and would hold up over time better than cheaper bras but I just can't get over the positive reviews so I'm giving it only one star.

For a better fitting and much more comfortable bra, try a Victoria's Secrets wireless cotton bra.  It gives you the smooth coverage you want, excellent support, and you won't even know you are wearing it.",Neither Comfortable Nor Attractive,Negative
17841,B00007GDDD,1.0,A1ABVFTEO9V063,Snap button broke in the first 3 hours.,One Star,Negative
7635,B00006XXGO,1.0,A37EL1L8UFVKZ7,"These look like a chap version of Converse. Very big, clunky, and awkward.",Flippers anyone?,Negative
2856,B00001W0J3,2.0,A2LJ17N1JF1VV9,"I was dissapointed of the material of this minnie mouse costume, though it was so cute to my little girl and fitted right to her... and i thought headband was included too as picture shown.",I was dissapointed of the material of this minnie mouse ...,Negative
7634,B00006XXGO,2.0,AH6JEBQUGN5QX,the sole came apart very fast,Two Stars,Negative
20941,B00008673Z,2.0,A39IWU32NRF5RH,"Seems to run smaller than labeled.  My other bras of the same label size are larger than this one... so I haven't been wearing it, and can't rate the wear-ability of it.

---------Update on 11-11-13

I may have lost weight or something because this bra fits now.  But it's really uncomfortable.  the straps roll.  The edges roll underneath toward each other!!  I like the cloth generally, but the seams are so large that they cause itching and discomfort, on the under-outer side of the breast for me.

I would not buy this bra again.",Smaller than most my other bras - updated,Negative
2859,B00001W0GC,1.0,A1YXJDE6Q5F6HP,"Costume is not a size 4-6, my son wears a 3T and it is too tight and too small on him, very disappointed with this purchase! The hat barely fit his head but fits his 9 month old sisters head, should have read the reviews before purchasing.",Very disappointed with this purchase,Negative
2860,B00001W0GC,1.0,A1TLB0NDIYHQUY,Horrible quality.,One Star,Negative
4860,B00004U3ST,2.0,A3IKUEW1KZYHTM,"This was a disappointing purchase. The medal looks like something you purchased from the dollar store! I would not waste the money! If you are a collector, wait until you get free shipping; I sure wish I had!",You need Courage if you order this medal!,Negative
27690,B000089V7W,2.0,A6Z7ID5MLER5V,Too smAll,Two Stars,Negative
2863,B00001W0GC,1.0,A149C58RE0Q8HB,"Says 3t, but fits like 24 month. Had I known in time, I would've sent it back",but fits like 24 month,Negative
2864,B00001W0GC,1.0,A1H246T39KOS7F,"My son just turn 5. This 4-6 size is 2 inches too short for the pants.
There is no tail too.
People have been complain in the size since 2009, WHY can your company correct the sizing problem?
This one piece suit should be 3-4, not 4-6 years old!
Please correct the sizing mistake!",My son just turn 5. This 4-6 size is ...,Negative
2865,B00001W0GC,2.0,ALB2FMWH8NJSA,This product is way to small for a toddler 4/6 years old. I would not image what the infant size would look like. Now I have to last minute go out to the stores and look for a costume for my son. This was my way of not having to shop around to save time and it was convenient. Overall not satisfied.,I would not image what the infant size would look like. Now I have to last minute go out ...,Negative
